X (Lat),Y (Long),CNTY_NM,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Location
-97.492799270000006,29.456414949999999,Gonzales,90,48177,2.124910622,0.257804828,"(-97.492799, 29.456415)"
-98.697292099999999,27.043404989999999,Jim Hogg,125,48247,2.271751304,0.267624126,"(-98.697292, 27.043405)"
-97.681377830000002,26.924094480000001,Kenedy,66,48261,5.067864307,0.389397352,"(-97.681378, 26.924094)"
-96.965687349999996,30.310650649999999,Lee,144,48287,2.213853346,0.15399046,"(-96.965687, 30.310651)"
-95.853568469999999,32.211880780000001,Henderson,108,48213,3.152908752,0.235056213,"(-95.853568, 32.211881)"
-94.144952610000004,31.792421910000002,Shelby,210,48419,2.67878976,0.205815769,"(-94.144953, 31.792422)"
-99.453625790000004,31.77329421,Coleman,42,48083,2.675641055,0.316062015,"(-99.453626, 31.773294)"
-96.403565749999999,30.214529899999999,Washington,239,48477,2.547105613,0.150743535,"(-96.403566, 30.21453)"
-99.760574000000005,28.421611680000002,Dimmit,64,48127,2.324663844,0.314454367,"(-99.760574, 28.421612)"
-99.730294009999994,33.178248050000001,Haskell,105,48207,1.91739054,0.227925166,"(-99.730294, 33.178248)"
-99.212368319999996,33.177539070000002,Throckmorton,224,48447,1.92184449,0.229200301,"(-99.212368, 33.177539)"
-99.745385099999993,34.28865227,Hardeman,100,48197,1.904729035,0.17664409,"(-99.745385, 34.288652)"
-102.3517095,34.068612420000001,Lamb,140,48279,2.03117493,0.257464651,"(-102.351709, 34.068612)"
-98.55841538,31.949063899999999,Comanche,47,48093,2.095434312,0.235313921,"(-98.558415, 31.949064)"
-102.335157,33.173737289999998,Terry,223,48445,1.896687331,0.222977795,"(-102.335157, 33.173737)"
-93.851704389999995,31.34321941,Sabine,202,48403,2.033399379,0.141502516,"(-93.851704, 31.343219)"
-102.6021647,36.27777107,Dallam,56,48111,2.647748843,0.391034911,"(-102.602165, 36.277771)"
-103.69314300000001,31.323070609999998,Reeves,195,48389,4.574018208,0.648796011,"(-103.693143, 31.323071)"
-102.63788390000001,32.305062829999997,Andrews,2,48003,2.579602167,0.372269477,"(-102.637884, 32.305063)"
-94.761695770000003,32.10803224,Rusk,201,48401,2.447868376,0.23243584,"(-94.761696, 32.108032)"
-101.3547257,35.840008660000002,Hutchinson,118,48233,1.93562571,0.231227108,"(-101.354726, 35.840009)"
-96.930209930000004,29.384370029999999,Lavaca,143,48285,1.928384427,0.233736863,"(-96.93021, 29.38437)"
-103.2518906,29.812058360000002,Brewster,22,48043,6.004896343,1.497093043,"(-103.251891, 29.812058)"
-96.794674169999993,32.34839264,Ellis,71,48139,2.245024488,0.236142131,"(-96.794674, 32.348393)"
-97.426460820000003,28.657085630000001,Goliad,89,48175,2.171168793,0.205451115,"(-97.426461, 28.657086)"
-99.820614719999995,30.88981785,Menard,164,48327,2.017755354,0.220448427,"(-99.820615, 30.889818)"
-100.30489369999999,29.98248216,Edwards,70,48137,3.37029966,0.513424083,"(-100.304894, 29.982482)"
-94.376514319999998,30.771260699999999,Tyler,229,48457,2.673865732,0.228323625,"(-94.376514, 30.771261)"
-94.96509786,33.216090600000001,Titus,225,48449,2.00308064,0.106914371,"(-94.965098, 33.216091)"
-96.287793410000006,32.599278079999998,Kaufman,130,48257,2.002230724,0.200935223,"(-96.287793, 32.599278)"
-96.512725680000003,31.027054150000001,Robertson,198,48395,2.503122646,0.211742258,"(-96.512726, 31.027054)"
-98.568422560000002,28.353510910000001,McMullen,162,48311,2.118908742,0.277594527,"(-98.568423, 28.353511)"
-102.6351246,32.740745369999999,Gaines,84,48165,2.590419039,0.374514715,"(-102.635125, 32.740745)"
-100.25585839999999,33.616418629999998,King,135,48269,1.928296567,0.229952945,"(-100.255858, 33.616419)"
-95.455784789999996,29.193453869999999,Brazoria,20,48039,8.449998572,0.342869742,"(-95.455785, 29.193454)"
-99.373596919999997,32.297773800000002,Callahan,30,48059,1.897523701,0.223364373,"(-99.373597, 32.297774)"
